,property_type,place_name,state_name,lat,lon,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_per_m2,rooms,terraza,patio,parrilla,salon,laundry,pileta,cochera,estado_nuevo,estado_a_reciclar
88120,apartment,Villa Crespo,Capital Federal,-34.5976786,-58.4430195,129132.0,70.0,65.0,1844.7428571428572,1.0,0,0,0,0,0,0,0,0,0
88130,apartment,Capital Federal,Capital Federal,-34.628059787199994,-58.434757105699994,137000.0,46.0,45.0,2978.2608695652175,2.0,0,0,0,0,0,0,0,0,0
88134,apartment,Parque Patricios,Capital Federal,-34.633308,-58.407493,183265.0,87.0,69.0,2106.4942528735633,4.0,1,0,1,0,0,0,1,0,0
88136,apartment,Puerto Madero,Capital Federal,-34.6177194,-58.3620561,4200000.0,592.0,372.0,7094.594594594595,5.0,1,0,1,0,0,1,1,0,0
88138,house,Almagro,Capital Federal,-34.56910735,-58.40848979999999,680000.0,490.0,490.0,1387.7551020408164,5.0,1,1,0,0,1,0,1,0,0
88141,apartment,Saavedra,Capital Federal,-34.555257,-58.492172,127000.0,48.0,48.0,2645.8333333333335,2.0,0,0,1,0,1,0,0,0,0
88145,apartment,Parque Patricios,Capital Federal,-34.633308,-58.407493,192792.0,99.0,65.0,1947.3939393939395,3.0,0,0,0,0,0,0,0,0,0
88149,store,Belgrano,Capital Federal,-34.5598729,-58.443362,924296.0,203.0,157.0,4553.182266009852,4.0,0,0,0,0,0,0,0,0,0
88154,store,Belgrano,Capital Federal,-34.5598729,-58.443362,130000.0,25.0,25.0,5200.0,4.0,0,0,0,0,0,0,0,0,0
88156,apartment,Floresta,Capital Federal,-34.6341875842,-58.47708296800001,129000.0,67.0,59.0,1925.3731343283582,3.0,0,0,0,0,0,0,0,0,0
88157,apartment,Parque Patricios,Capital Federal,-34.633308,-58.407493,108488.0,56.0,34.0,1937.2857142857142,2.0,0,0,0,0,0,0,0,0,0
88158,store,Belgrano,Capital Federal,-34.5598729,-58.443362,909957.0,210.0,180.0,4333.128571428571,4.0,0,0,0,0,0,0,0,0,0
88166,PH,Flores,Capital Federal,-34.635117947800005,-58.4739639408,275000.0,135.0,114.0,2037.037037037037,3.0,1,1,1,0,1,1,1,1,0
